processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
EANAH786-12	ROM Herps 20933	2593304	20933		Royal Ontario Museum		BOLD:ABY0347	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	191070	Terrapene	191071	Terrapene carolina					LINNAEUS 1758					Captive Bred Animal														1											Exception - Zoological Park	Pet Trade Specimen										
EANAH787-12	ROM Herps 20935	2593305	20935		Royal Ontario Museum		BOLD:ABX2924	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	5587	Chrysemys	30442	Chrysemys picta					SCHNEIDER 1783					MacCulloch, R.														1	42.593	-80.448							Canada	Ontario	Haldimand-Norfolk	South Walshingham Township: Long Point causeway										
EICOL007-11	EICOI7	2221767	EICOI7	EICOI7	Universidad de Bogota Jorge Tadeo Lozano		BOLD:ABA0323	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158930	Eretmochelys	158931	Eretmochelys imbricata					(LINNAEUS) 1766														S														Colombia	Bolivar												
EICOL014-11	EICOI14	2225061	EICOI14	EICOI14	Universidad de Bogota Jorge Tadeo Lozano		BOLD:ABA0330	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158930	Eretmochelys	158931	Eretmochelys imbricata					(LINNAEUS) 1766														S						4.18775	-72.6445	Coordinates from country centroid						Colombia													
GBGC0882-06	AY357762	482341	YPM R 14077		Mined from GenBank, NCBI		BOLD:AAB4447	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28785	Cuora galbinifrons					BOURRET 1939																																									
GBGC10442-12	AF113654	2973654		AF113654	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171555	Chelodina	171557	Chelodina oblonga					GRAY 1841																			Chelodina oblonga																						
GBGC10446-12	AF113665	2973658		AF113665	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	1110	Pelomedusidae			171538	Pelusios	171539	Pelusios sinuatus					SMITH 1838																			Pelusios sinuatus																						
GBGC10747-13	JN860218	3585776	AUTK96		Mined from GenBank, NCBI		BOLD:ADC7899	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	164068	Cyclemys	499958	Cyclemys gemeli										K. C. Das															26.11	91.44							India													
GBGC11202-13	HQ329754	3602326	AMCC:111025		Mined from GenBank, NCBI		BOLD:AAY1578	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			757688	Centrochelys	758735	Centrochelys sulcata																																														
GBGC11275-13	HQ329641	3602399	HQ329641	HQ329641	Mined from GenBank, NCBI		BOLD:AAR9512	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae			190972	Clemmys	190973	Clemmys guttata					SCHNEIDER 1792																																									
GBGC11282-13	HQ329634	3602406	HQ329634	HQ329634	Mined from GenBank, NCBI		BOLD:AAY1119	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757236	Chelinae	171545	Phrynops	191054	Phrynops williamsi					RHODIN & MITTERMAIER 1983																																									
GBGC11334-13	KF059174	3609086	TD2		Mined from GenBank, NCBI		BOLD:ACI1438	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	191070	Terrapene	669194	Terrapene mexicana										T. deMaar															23.77	-98.22							Mexico													
GBGC11759-13	FR874840	3635429	USNM:FN253290		Mined from GenBank, NCBI		BOLD:AAI0549	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	279938	Trachemys emolli																																	Honduras	Choluteca	El Faro											
GBGC16135-19	KY776442	10866399		KY776442	Mined from GenBank, NCBI		BOLD:AEB5213	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171564	Emydura	171566	Emydura macquarii					GRAY 1830																																									
GBGC3642-07	EF011501	649787	EF011501		Mined from GenBank, NCBI		BOLD:AAB3006	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	29443	Cuora trifasciata					BELL 1825																																									
GBGC3674-07	EF011469	649819	EF011469		Mined from GenBank, NCBI		BOLD:AAB4448	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28785	Cuora galbinifrons					BOURRET 1939																																									
GBGC4393-08	EF685038	785098	EF685038		Mined from GenBank, NCBI		BOLD:AAE7763	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	28765	Cuora yunnanensis					BOULENGER 1906																																									
GBGCR1038-18	KX559044	8768804	HBS23001	KX559044	Mined from GenBank, NCBI		BOLD:AAF5910	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	80311	Trachemys scripta	473408	Trachemys scripta elegans																																												
GBGCR1974-18	KP752013	8769740		KP752013	Mined from GenBank, NCBI		BOLD:AAE1538	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29441	Mauremys annamensis					SIEBENROCK 1903																				38.0733	104.691	Coordinates from country centroid						China													
GBGCR2005-18	KP268863	8769771	T48	KP268863	Mined from GenBank, NCBI		BOLD:ACA9031	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191035	Nilssonia	499956	Nilssonia nigricans					ANDERSON 1875																				25.67	92.95							India													
GBGCR2704-19	AF113657	9671841			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757236	Chelinae	171551	Platemys	171552	Platemys platycephala					SCHNEIDER 1792																																									
GBGCR2727-19	HQ329694	9671864	AMCC:166664		Mined from GenBank, NCBI		BOLD:AAX2622	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	191045	Pangshura	191046	Pangshura smithii																																														
GBGCR2746-19	HQ329678	9671883	AMCC:166658		Mined from GenBank, NCBI		BOLD:AAY1452	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	190996	Geoemyda	190997	Geoemyda japonica					FAN 1931																																									
GBGCR2805-19	EF120505	9671942			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			166578	Chersina	166579	Chersina angulata					SCHWEIGGER 1812																																									
GBGCR2846-19	KF894753	9671983	AUTK75		Mined from GenBank, NCBI		BOLD:AAW2850	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	190961	Batagur	190962	Batagur baska					GRAY 1831																				22.18	88.39							India													
GBGCR2874-19	KF894759	9672011	AUTK16		Mined from GenBank, NCBI		BOLD:AAD5779	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5631	Cuora	104565	Cuora mouhotii					GRAY 1862																				24.13	92.4							India													
GBGCR2972-19	MF110282	9672109	ZSI:eDNA8		Mined from GenBank, NCBI		BOLD:ACA9031	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191035	Nilssonia	499956	Nilssonia nigricans					ANDERSON 1875																				26.7248	92.9944							India													
GBGCR2975-19	MF359933	9672112			Mined from GenBank, NCBI		BOLD:AAY2929	18	Chordata	76	Reptilia	384	Testudines	171533	Podocnemididae			171536	Podocnemis	171537	Podocnemis expansa					SCHWEIGGER 1812																																									
GBGCR3077-19	MF432828	9672214	NBFGR-NIG8		Mined from GenBank, NCBI		BOLD:AAX6376	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191035	Nilssonia	499955	Nilssonia gangetica																																														
